,CCLE,GSE18676,GSE2361,GSE30803,GSE3526,GSE43346,GTEx-Adipose_Subcutaneous,GTEx-Brain_Cortex,GTEx-Breast_Mammary_Tissue,GTEx-Cells_EBV-transformed_lymphocytes,GTEx-Cells_Transformed_fibroblasts,GTEx-Colon_Transverse,GTEx-Liver,GTEx-Lung,GTEx-Pancreas,GTEx-Prostate,GTEx-Skin_Not_Sun_Exposed_Suprapubic,GTEx-Stomach,GTEx-Uterus,GTEx-Whole_Blood,median,mean,std,relative_std,assignment
PAX5,5.920006707092763,6.083863509731432,6.14185545670912,,6.1930079791565005,6.083863509731432,,,,5.770244386759432,,,,,,,,,,,6.083863509731432,6.039529294130302,0.1345484132062637,0.02227796350570377,long-range TF
GATA1,4.581188150539382,5.882218146203361,5.6537388176879935,6.01691672010082,6.083863509731432,5.986953496723378,,,,,,,,,,,,,,5.840825461045139,5.882218146203361,5.740990306029358,0.4550833490870209,0.0792691373488436,long-range TF
NRF1,2.539795465381157,4.14185545670912,5.937735474053196,5.840825461045139,5.840825461045139,2.743915448037082,,,6.442885452373103,,,,,,,,,,,,5.840825461045139,4.916082959961134,1.4536517797372712,0.29569309378553765,long-range TF
MAX,3.01691672010082,5.818549066333986,5.986953496723378,5.840825461045139,,5.770244386759432,,5.044945443701064,,,,,5.986953496723378,,,,,,,,5.818549066333986,5.410492142215149,0.9470396260201972,0.1750376123145912,long-range TF
USF2,5.6859235010593965,5.818549066333986,5.920006707092763,5.937735474053196,6.083863509731432,5.770244386759432,,,,5.581188150539382,,,5.071274382423413,,,,,,,5.372304378087393,5.770244386759432,5.701133394283983,0.28163391311237856,0.04939963576273233,long-range TF
ZBTB17,5.503583292726712,5.7439154480370815,5.818549066333986,5.6537388176879935,5.882218146203361,5.7439154480370815,,,5.3971279618124255,,,,,,,,,,,,5.7439154480370815,5.685870453609465,0.1516150439495557,0.026665230097409003,long-range TF
RFX1,5.6859235010593965,5.715886724436839,5.795067970484463,2.7950679704844634,5.770244386759432,5.7439154480370815,,,5.653738817687994,,,,,,,,,,,5.539795465381157,5.700905112748117,5.377838377453216,0.9158296057645218,0.17029697463653254,long-range TF
USF1,5.6537388176879935,5.6537388176879935,,,6.01691672010082,5.715886724436839,,5.46407475144304,,5.096097966148443,,5.044945443701064,5.317946715764801,,,,,,5.618976711428782,5.442885452373102,5.541525731435912,5.506066713837163,0.2670484814646493,0.04850077112097755,long-range TF
ESR1,4.986953496723377,5.503583292726712,6.1930079791565005,,6.083863509731432,4.653738817687994,,,,,,,,,,,,,,,5.503583292726712,5.487455064792122,0.5476636419007989,0.09980284766514907,long-range TF
RUNX1,4.442885452373099,5.484278137531326,6.083863509731432,5.954768813351975,6.01691672010082,4.920006707092763,,,,,,,,,,,,,,3.7950679704844634,5.484278137531326,5.272758181024652,0.7716033938002245,0.14633771686648436,long-range TF
MAZ,5.42060905766195,5.372304378087393,5.770244386759432,3.01691672010082,5.882218146203361,5.345975439365044,,,,5.442885452373102,,,4.442885452373102,5.202553297062732,,,,,,5.238765469717176,5.359139908726219,5.135863428039122,0.7549786827076143,0.14700131599797348,long-range TF
TAL1,4.3848935053954134,5.715886724436839,4.954768813351975,,6.14185545670912,5.882218146203361,,,,,,,,,,,,,,4.7439154480370815,5.335327768894407,5.308409409004028,0.5960881848821146,0.11229129838234414,long-range TF
NFE2,3.954768813351975,5.119579061997968,5.238765469717176,5.954768813351975,5.954768813351975,5.096097966148443,,,,,,,,,,,,,,,5.179172265857573,5.213988743396727,0.6219534379546345,0.11928553523294608,long-range TF
RELA,4.954768813351975,4.954768813351975,5.715886724436839,4.581188150539382,4.494037974820482,5.42060905766195,4.840825461045139,,,5.044945443701064,,,,4.384893505395413,,,,,,,4.954768813351975,4.93466927576562,0.38600205824544,0.07822247787528809,long-range TF
BCL3,4.840825461045139,4.986953496723377,,4.3179467157647995,4.494037974820482,5.3971279618124255,,,,5.183248141867344,,,,,,,,,,,4.913889478884258,4.876289890131118,0.34605473988344154,0.07096681035797413,long-range TF
RELB,4.6859235010593965,4.653738817687994,6.14185545670912,4.882218146203363,5.920006707092763,4.882218146203363,,,,4.442885452373102,,,,,,,,,,5.6859235010593965,4.882218146203363,5.130776430510207,0.5809331735728167,0.11322519728559845,long-range TF
STAT5B,4.14185545670912,4.795067970484463,4.882218146203363,4.795067970484463,5.01691672010082,5.4640747514430394,,,,,,,,,,,,,,,4.838643058343913,4.847692010538455,0.3612641382495173,0.0745229147116114,long-range TF
NR2F6,4.795067970484463,4.7439154480370815,4.715886724436839,4.653738817687994,5.345975439365044,5.14185545670912,,,,,,,4.384893505395413,,,,,,,5.653738817687994,4.769491709260771,4.91161820989608,0.3706717648934956,0.07546835870643501,long-range TF
JUND,5.7439154480370815,5.770244386759432,,3.743915448037082,4.494037974820482,5.7439154480370815,,4.7439154480370815,,,,4.6859235010593965,4.14185545670912,,,,,,,5.840825461045139,4.7439154480370815,4.965246402057899,0.7207611813709056,0.14516121114798625,long-range TF
TBX21,4.3179467157647995,4.653738817687994,6.14185545670912,4.7439154480370815,6.01691672010082,4.7439154480370815,,,,4.653738817687994,,,,,,,,,,,4.7439154480370815,5.001992859007747,0.6363617206718193,0.12722163717723806,long-range TF
AR,4.7439154480370815,4.882218146203363,,,,4.653738817687994,,,2.6189767114287816,,,,,,,4.238765469717176,,,,,4.653738817687994,4.298558901793732,0.7763029585677826,0.1805960965764228,long-range TF
TEAD4,4.3848935053954134,,,4.6859235010593965,5.7439154480370815,,,4.442885452373102,,,,,,4.653738817687994,,,,,4.618976711428783,,4.6363577645583876,4.738098742934309,0.423919164958847,0.08947031034146696,long-range TF
SPIB,4.14185545670912,4.238765469717176,5.42060905766195,4.795067970484463,4.6189767114287825,4.3179467157647995,,,,,,,,,,,,,,5.795067970484463,4.6189767114287825,4.743408257959942,0.5472398765408772,0.1153684959801954,long-range TF
FOSL1,4.3179467157647995,5.920006707092763,,4.3179467157647995,5.882218146203361,4.6189767114287825,,,3.6189767114287816,,,,,,,,,,,5.840825461045139,4.6189767114287825,4.8919842350196525,0.8190196572861497,0.16742074747975136,long-range TF
SMAD3,4.3848935053954134,4.442885452373099,4.7439154480370815,4.3848935053954134,4.840825461045139,4.7439154480370815,,,,,,,,,,,,,,,4.593400450205091,4.590675610069759,0.17569525097154504,0.03827219910423494,long-range TF
GATA3,4.581188150539382,,4.539795465381157,4.6189767114287825,4.581188150539382,4.494037974820482,,,,,,,,,,,,,,,4.581188150539382,4.5660624338747615,0.03950476557502191,0.008651823348262491,long-range TF
CEBPA,5.202553297062732,4.3848935053954134,4.539795465381157,4.986953496723377,4.3848935053954134,4.581188150539382,4.581188150539382,,,,,,,,,,,,,,4.581188150539382,4.65533171519703,0.2705407884787564,0.05811418069212844,long-range TF
CEBPB,4.494037974820482,4.442885452373099,4.442885452373099,4.539795465381157,4.238765469717176,4.581188150539382,,,4.494037974820482,5.795067970484463,,,4.920006707092763,4.581188150539382,,,,,4.618976711428783,4.6859235010593965,4.560491807960269,4.6457885221992266,0.3636660091235273,0.07827864040427197,long-range TF
FOSL2,4.3848935053954134,4.539795465381157,4.581188150539382,4.442885452373099,4.6189767114287825,4.653738817687994,,4.581188150539382,,,,,3.7950679704844634,4.539795465381157,,,,,4.442885452373102,,4.539795465381157,4.465473691542282,0.22549243877721065,0.05049686872062395,long-range TF
HNF4A,4.442885452373099,4.494037974820482,6.083863509731432,4.581188150539382,6.083863509731432,4.882218146203363,,,,,,4.3179467157648,3.7950679704844634,,,,,,,,4.537613062679932,4.802076054703154,0.7366187692486247,0.15339589811935198,long-range TF
FOS,4.539795465381157,4.494037974820482,4.539795465381157,4.3848935053954134,4.442885452373099,4.6189767114287825,,,,,,,,,,,,,,,4.51691672010082,4.50532875641156,0.06964947368476034,0.01545935434470609,long-range TF
JUNB,4.539795465381157,,4.494037974820482,4.494037974820482,4.539795465381157,4.539795465381157,,,,4.3179467157648,,,,,,,,,,,4.51691672010082,4.491760825950008,0.07346186034729749,0.016354802313357883,long-range TF
IKZF1,4.238765469717176,4.238765469717176,4.920006707092763,4.581188150539382,4.795067970484463,4.494037974820482,,,,2.4428854523731007,,,,,,,,,,,4.494037974820482,4.275594396195628,0.7276226331362615,0.17018046281089974,long-range TF
CDX2,4.3848935053954134,4.539795465381157,,,,,,,,,,4.442885452373102,,,,,,,,,4.442885452373102,4.4526149688806935,0.05562365182545639,0.012492356113027929,long-range TF
TEAD1,4.442885452373099,4.14185545670912,,,4.442885452373099,,,,,,,,,,,,,,,,4.442885452373099,4.367627953457107,0.1303498117730632,0.029844531897431307,long-range TF
FOXA1,4.3848935053954134,4.494037974820482,4.442885452373099,4.3848935053954134,4.442885452373099,5.715886724436839,,,,,,,,,,,,,,,4.442885452373099,4.615481152452493,0.4506107000910593,0.09763027628259767,long-range TF
TCF7L2,4.539795465381157,,,4.7439154480370815,3.5397954653811574,,,,,,,4.3179467157648,,,,,,,,,4.4288710905729785,4.314064837027436,0.4119258353314464,0.09548438674261556,long-range TF
PPARG,4.442885452373099,4.238765469717176,4.3848935053954134,4.715886724436839,4.494037974820482,4.442885452373099,4.14185545670912,,,,,4.3179467157648,,,,,,,,,4.413889478884258,4.399227358941588,0.15351060727356725,0.03489490193352962,long-range TF
IRF1,4.494037974820482,4.238765469717176,4.3848935053954134,4.3848935053954134,4.3848935053954134,4.14185545670912,,,,,,4.539795465381157,,,4.882218146203363,,,,,4.715886724436839,4.3848935053954134,4.455213325884979,0.2058561551674468,0.04620567863078829,long-range TF
MYB,3.5397954653811574,4.238765469717176,4.494037974820482,4.539795465381157,4.954768813351975,2.685923501059395,,,,,,,,,,,,,,,4.3664017222688285,4.117069773140025,0.7051791322414361,0.17128180261652626,long-range TF
TP53,2.7950679704844634,2.743915448037082,5.6859235010593965,4.954768813351975,3.954768813351975,4.7439154480370815,,,5.6859235010593965,,,,,2.317946715764801,,,,,,,4.349342130694528,4.136841371315634,1.2001915758400648,0.2901226970321005,long-range TF
GRHL2,4.3179467157647995,4.238765469717176,4.238765469717176,4.3179467157647995,4.3848935053954134,2.743915448037082,,,,,,,,4.384893505395413,,,,,,,4.3179467157647995,4.118134193194583,0.5219766713073175,0.12675076790113088,long-range TF
NR1H3,4.3848935053954134,3.3179467157648017,,,,,,,,,,4.3179467157648,,,,,,,,,4.3179467157648,4.084683413172454,0.4435185450735656,0.10858088625504952,long-range TF
FOXA2,4.238765469717176,4.3179467157647995,,4.3179467157647995,,2.743915448037082,,,,,,4.442885452373102,4.3179467157648,,,,,,,,4.3179467157648,4.099621890455223,0.5562365483433231,0.13567996347135286,long-range TF
SP1,2.9200067070927638,4.044945443701063,6.14185545670912,6.083863509731432,3.795067970484464,5.2721892252041265,,,,,,2.7950679704844634,,,,,,,,,4.044945443701063,4.387242715888562,1.2254145223299793,0.2793131362192693,long-range TF
FLI1,2.8408254610451382,3.840825461045138,4.14185545670912,4.044945443701063,4.044945443701063,4.3848935053954134,,,,,,,,,,,,,,2.8408254610451382,4.044945443701063,3.7730077095428927,0.5561957858726988,0.14741443132118145,long-range TF
KLF5,4.3179467157647995,3.795067970484464,3.685923501059395,4.3179467157647995,3.954768813351975,3.1418554567091195,,,,,,,,,3.743915448037082,,,,,,3.795067970484464,3.844061573957013,0.3525481212200299,0.0917124022176166,long-range TF
JUN,4.3179467157647995,,3.685923501059395,3.954768813351975,3.743915448037082,3.5397954653811574,,,,,,,,,,,,,,,3.743915448037082,3.8310442319385833,0.2494829724725716,0.06512140225181591,long-range TF
NR3C1,4.442885452373099,,3.5397954653811574,,,,,,,,,,,,,2.6189767114287816,,,,,3.5397954653811574,3.5353632736410487,0.6448643510345856,0.1824039854242316,long-range TF
MYC,4.3179467157647995,2.743915448037082,3.795067970484464,4.442885452373099,3.3179467157648017,4.494037974820482,,,2.920006707092764,,2.7950679704844634,3.7950679704844634,2.685923501059395,3.2387654697171766,,,,,2.8408254610451382,2.317946715764801,3.2387654697171766,3.353154967329293,0.6807307105836684,0.20301200428140487,short-range TF
ELF1,3.795067970484464,3.01691672010082,2.9200067070927638,3.5397954653811574,2.9200067070927638,3.1418554567091195,,,,3.01691672010082,,3.1418554567091195,,,,,,,,,3.07938608840497,3.1746452546751107,0.28065832018434955,0.08840619901421766,short-range TF
YY1,2.9200067070927638,2.8408254610451382,2.9200067070927638,2.9200067070927638,2.8408254610451382,3.01691672010082,,,,2.743915448037082,,2.8408254610451382,3.539795465381157,,,,,,3.01691672010082,2.685923501059395,2.9200067070927638,2.9338309221821453,0.2051909653446234,0.0699396014246128,short-range TF
ATF2,3.1418554567091195,2.6189767114287816,,2.743915448037082,,2.9200067070927638,,,,,,,,,,,,,,,2.8319610775649227,2.8513430801665334,0.1760810166243051,0.061753711031511865,short-range TF
ZBTB33,2.539795465381157,2.8408254610451382,,,,2.6189767114287816,,,,,,,2.8408254610451382,,,,,,,,2.7299010862369597,2.7140648370274354,0.11983226937314925,0.04415232375376664,short-range TF
TFDP1,2.6189767114287816,2.685923501059395,3.840825461045138,2.7950679704844634,2.743915448037082,2.539795465381157,,,,,,,,,,,,,,,2.7149194745482386,2.8484891474263216,0.4124416901783065,0.14479314079569425,short-range TF
TAF1,2.685923501059395,2.539795465381157,,,2.685923501059395,,,,,,,,,,,,,,,,2.685923501059395,2.649391492139836,0.06327529555123654,0.02388295415719439,short-range TF
ATF1,2.539795465381157,2.6189767114287816,2.743915448037082,2.8408254610451382,2.685923501059395,2.539795465381157,,,,,,,2.743915448037082,,,,,,,2.539795465381157,2.6524501062440886,2.6561547857772267,0.10132878859646363,0.03814867610089729,short-range TF
GABPA,2.6189767114287816,2.6189767114287816,3.1418554567091195,2.7950679704844634,2.743915448037082,2.6189767114287816,,,,,,,,,,,,,,2.539795465381157,2.6189767114287816,2.7120676482908688,0.17922133355358386,0.06608291414357906,short-range TF
CREB1,2.539795465381157,2.6189767114287816,2.743915448037082,2.685923501059395,2.685923501059395,2.539795465381157,,,,,,,,,,2.4428854523731007,,,,2.539795465381157,2.579386088404969,2.597377455389577,0.08929305096773428,0.03437815739196878,short-range TF
FOXM1,2.539795465381157,2.539795465381157,2.317946715764801,2.539795465381157,,2.539795465381157,,,,2.4428854523731007,,,,,,,,,,,2.539795465381157,2.4942584992919548,0.079366339899498,0.031819612891778336,short-range TF
